1,1995,0.28,3,6.7,1.4,0.1,0.29,2.08,81.75,5.69,0.42,0.4,0.31,0.11,0.1
1,1995,0.21,6,8,1.28,0.15,0.52,2.09,80.85,5,0.43,0.5,0.34,0.11,0.01
1,1995,0.14,4,8.35,0.92,0.15,0.35,2.8,80.85,4.65,0.36,0.6,0.43,0.2,0.1
1,1995,0.41,3.75,12.25,1.13,0.14,0.32,2.49,75.05,5.43,0.37,0.45,0.35,0.13,0.07
1,1995,0.21,1.5,9.29,1.06,0.14,0.32,2.68,77.68,5.05,0.32,0.55,0.4,0.18,0.09
1,1995,0.21,4,10.48,1.24,0.13,0.31,2.52,76.44,5.32,0.36,0.49,0.38,0.16,0.09
1,1995,0.28,3.5,12.32,1.11,0.13,0.28,2.61,75.24,4.97,0.3,0.51,0.37,0.17,0.09
1,1995,0.35,3,11.25,1.09,0.14,0.3,2.7,76.16,4.85,0.31,0.53,0.38,0.18,0.09
1,1995,0.21,2.5,14.23,1.83,0.13,0.33,2.46,71.2,7.51,0.48,0.39,0.29,0.11,0.06
1,1995,0.21,5,14.08,1.35,0.24,0.45,3.37,71.55,5.5,0.5,0.56,0.32,0.23,0.08
1,1995,0.35,5.5,12.11,1.58,0.25,0.5,3.27,73.66,5.9,0.54,0.53,0.3,0.13,0.07
1,1995,0.28,3.25,10.5,1.3,0.14,0.32,2.73,76.43,6.14,0.44,0.48,0.32,0.13,0.08
1,1995,0.28,2.75,11.1,1.19,0.2,0.44,2.77,76.23,5.14,0.45,0.51,0.34,0.15,0.08
1,1995,0.28,4.25,13.53,1.18,0.18,0.36,2.66,73.54,5.82,0.4,0.46,0.31,0.14,0.04
1,1995,0.42,6.5,12.72,1.04,0.21,0.35,3.26,71.85,7.47,0.46,0.59,0.35,0.17,0.08
1,1995,0.42,5.75,12.3,0.92,0.21,0.35,3.23,72.03,7.67,0.48,0.59,0.37,0.18,0.09
1,1995,0.42,6,12.44,0.95,0.2,0.35,3.05,72.29,7.64,0.44,0.55,0.35,0.16,0.08
1,1995,0.35,6,11.42,0.96,0.25,0.49,3.03,75.36,5.31,0.45,0.54,0.35,0.17,0.08
1,1995,0.28,5.75,12.71,1.28,0.24,0.55,2.7,74.47,5.63,0.11,0.38,0.27,0.08,0.04
1,1995,0.42,6.5,12.05,1.3,0.24,0.54,2.75,74.84,5.67,0.52,0.43,0.3,0.12,0.05
1,1995,0.92,7,10.34,1.98,0.09,0.3,2.06,73.35,9.36,0.52,0.41,0.31,0.11,0.06
1,1995,0.63,4.75,10.25,2,0.12,0.36,2.41,74,8.24,0.46,0.41,0.32,0.11,0.06
1,1995,0.92,5.25,12.62,1.3,0.14,0.32,2.54,73.24,5.96,0.46,0.43,0.31,0.14,0.06
1,1995,0.63,4.75,12.73,1.49,1.14,1.37,2.5,74.18,6.62,0.47,0.43,0.32,0.12,0.07
1,1995,0.35,2.5,13.35,1.71,0.13,0.34,2.39,73.28,6.97,0.45,0.37,0.25,0.09,0.04
1,1995,0.7,2,12.03,1.09,0.22,0.46,3.2,74.81,5.55,0.52,0.54,0.3,0.16,0.07
1,1995,0.49,3,9.8,0.84,0.08,0.19,2.6,78.09,4.93,0.48,0.43,0.39,0.13,0.06
1,1995,0.77,3,13.18,1.64,0.19,0.39,3.12,70.31,6.76,0.47,0.49,0.28,0.13,0.07
1,1995,0.77,3,13.18,1.64,0.19,0.39,3.12,70.31,6.76,0.47,0.49,0.28,0.13,0.07
1,1995,0.77,3,13.18,1.64,0.19,0.39,3.12,70.31,6.76,0.47,0.49,0.28,0.13,0.07
1,1995,0.42,4.75,9.45,1.24,0.16,0.38,2.63,76.13,5.87,0.47,0.5,0.35,0.16,0.08
1,1995,0.42,4.75,9.45,1.24,0.16,0.38,2.63,76.13,5.87,0.47,0.5,0.35,0.16,0.08
1,1995,0.42,4.75,9.45,1.24,0.16,0.38,2.63,76.13,5.87,0.47,0.5,0.35,0.16,0.08
1,1995,1.2,4.5,7.04,0.37,0.05,0.08,3.07,79.79,5.99,0.43,0.51,0.53,0.14,0.06
1,1995,0.28,3.5,11.54,1.26,0.16,0.38,2.49,74.39,5.69,0.47,0.39,0.27,0.23,0.05
1,1995,0.28,3.25,11.26,1.12,0.17,0.37,2.66,76.07,5.7,0.47,0.47,0.32,0.14,0.07
1,1995,0.21,3.5,11.3,0,0.16,0.36,2.75,76.33,0.42,0.49,0.31,0.15,0.08,0.04
1,1995,0.28,3.25,16.66,2.02,0.16,0.41,2.67,70.04,6.59,0.41,0.27,0.18,0.06,0
1,1995,0.28,3.5,13.62,1.46,0.21,0.42,2.99,72.69,5.71,0.48,0.5,0.31,0.14,0.07
1,1995,0.28,3.5,14.48,1.53,0.24,0.47,2.99,73.15,5.2,0.45,0.41,0.27,0.09,0.03
1,1995,0.63,4.5,11.36,1.27,0.12,0.33,2.36,74.9,6.92,0.48,0.4,0.32,0.12,0.05
2,1993,0.31,5,14.74,0.75,0.04,0.09,1.64,64.9,14.4,1.57,0.33,0.32,0.01,0.06
2,1993,0.26,4.4,13.31,0.72,0.05,0.01,1.69,68.61,12.54,1.31,0.32,0.32,0.09,0.06
2,1993,0.23,4.1,13.29,0.71,0.06,0.11,1.15,69.38,11.75,1.35,0.32,0.33,0.09,0.06
2,1993,0.53,5.85,11.14,0.75,0.02,0.09,2.01,72.86,9.81,0.99,0.35,0.34,0.11,0.06
2,1993,0.26,1.6,11,0.71,0.05,0.01,1.94,71.24,11.94,1.21,0.3,0.01,0.08,0.06
2,1993,0.42,6,12.13,0.62,0.07,0.11,2.17,72.09,9.26,1.17,0.39,0.31,0.11,0.06
2,1993,0.73,4.2,12.85,0.68,0.06,0.07,1.8,67.89,13.68,1.39,0.32,0.32,0.08,0.06
2,1993,0.6,5.5,13.79,0.66,0.05,0.1,1.67,66.4,14.03,1.56,0.32,0.32,0.09,0.06
2,1993,0.16,2.15,12.36,0.61,0.05,0.09,1.77,72.91,9.31,1.13,0.33,0.36,0.09,0.05
2,1993,0.25,3,12.59,0.6,0.05,0.09,1.65,71.82,10.22,1.26,0.31,0.34,0.09,0.07
2,1993,0.25,2.6,13.09,0.61,0.05,0.09,1,71.58,10.15,1.14,0.3,0.35,0.08,0.05
2,1993,0.26,3.5,11.86,0.7,0.05,0.08,2.02,73.39,9.24,0.1,0.31,0.3,0.08,0.05
2,1993,0.64,3.35,11.05,0.91,0.1,0.19,1.8,72.9,9.79,0.77,0.39,0.28,0.09,0.08
2,1993,0.43,2.55,8.15,0.45,0.06,0.01,1.28,76.57,9.62,0.81,0.34,0.3,0.07,0.06
2,1993,0.39,1.8,11.55,0.51,0.05,0.09,2.09,74.99,8.17,0.89,0.31,0.29,0.08,0.05
2,1993,0.19,4.1,8.54,0.41,0.04,0.07,1.5,75.91,9.68,1.05,0.33,0.35,0.01,0.05
2,1993,1.33,5.8,9.49,0.52,0.09,0.15,2.45,77.78,7,0.81,0.35,0.32,0.09,0.03
2,1993,1.19,3.5,9.16,0.42,0.07,0.01,0.28,79.17,7.83,0.9,0.33,0.33,0.11,0.26
2,1993,1.04,4.6,9.11,0.39,0.07,0.1,1.13,78.56,7.46,0.83,0.31,0.31,0.11,0.26
2,1993,0.94,4.6,8.84,0.38,0.79,0.47,1.24,77.87,7.6,0.82,0.33,0.31,0.12,0.07
2,1994,0.21,13.15,10.56,0.44,0.09,0.12,2.9,73.07,9.93,0.77,0.49,0.34,0.12,0.07
2,1994,0.13,10.65,11.61,0.42,0.06,0.08,3.36,71.75,9.22,0.83,0.56,0.35,0.14,0.08
2,1994,0.1,7.5,12,0.53,0.06,0.09,2.3,71.37,10.91,1.02,0.36,0.31,0.09,0.06
2,1994,0.32,7.5,10.66,0.4,0.05,0.08,8.49,65.45,11.12,0.82,0.34,0.32,0.08,0.04
2,1994,0.39,4.8,11.45,0.35,0.04,0.07,2.24,71.29,11.54,0.85,0.32,0.3,0.07,0.05
2,1994,0.62,6.05,11.44,0.39,0.06,0.08,2.15,70.75,12.2,0.9,0.33,0.33,0.07,0.05
2,1994,0.7,4.25,11.62,0.4,0.05,0.08,2.28,70.47,11.9,0.86,0.33,0.27,0.08,0.05
2,1994,0.56,6.65,10.34,0.42,0.05,0.08,2.29,71.97,12.13,0.88,0.33,0.33,0.08,0.05
2,1994,0.65,8.3,11.92,0.41,0.05,0.07,2.23,71,11.45,0.84,0.33,0.3,0.08,0.06
2,1994,0.73,7.2,10.72,0.48,0.06,0.09,2.04,72.61,11.07,0.85,0.35,0.32,0.08,0.06
2,1994,0.85,6.8,11.21,0.46,0.05,0.09,2.19,70.97,11.66,0.87,0.32,0.31,0.08,0.05
2,1994,0.24,12.15,12.02,0.69,0.06,0.1,2.13,72.36,9.96,1.01,0.35,0.34,0.09,0.06
